obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"704.7370"	"0.0010"	"704.7366+"	"30*"	"6.40e+05"	B+	"79212.465"	"93398.253"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	"5p5.(2P*<3/2>).9s"	"2[3/2]*"	"2"		"T5818"	"L4739"	
"704.9070"	"0.0010"	"704.913+"	"1h"	""		"79986.618"	"94168.86"	"5p5.(2P*<3/2>).5d"	"2[1/2]*"	"1"	"5p5.(2P*<3/2>).9p"	"2[3/2]"	"1"		""	"L4739"	
"704.9360"	"0.0010"	"704.932+"	"1h"	""		"81925.514"	"96107.36"	"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"2"	"5p5.(2P*<3/2>).8f"	"2[5/2]"	"2"		""	"L4739"	
"705.1060"	"0.0010"	"705.1073+"	"3"	""		"77269.145"	"91447.474"	"5p5.(2P*<3/2>).6p"	"2[1/2]"	"1"	"5p5.(2P*<1/2>).5d"	"2[3/2]*"	"2"		""	"L4739"	
"707.244"	"0.020"	"707.24+"	"30"	""		"91152.670"	"105288.2"	"5p5.(2P*<1/2>).5d"	"2[5/2]*"	"2"	"5p5.(2P*<1/2>).6f"	"2[7/2]"	"3"		""	"L4103"	
"707.8460"	"0.0010"	"707.843+"	"1"	""		"79986.618"	"94110.15"	"5p5.(2P*<3/2>).5d"	"2[1/2]*"	"1"	"5p5.(2P*<3/2>).9p"	"2[5/2]"	"2"		""	"L4739"	
"711.9598"	"0.0002"	"711.9598+"	"500"	"8.39e+06"	B	"78403.061"	"92444.927"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"3"	"5p5.(2P*<3/2>).7d"	"2[7/2]*"	"4"		"T5099"	"L7292"	
"713.6570"	"0.0010"	"713.6561+"	"15"	""		"78119.798"	"92128.287"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	"5p5.(2P*<3/2>).7d"	"2[1/2]*"	"1"		""	"L4739"	
"717.2700"	"0.0010"	"717.270+"	"10"	""		"80196.629"	"94134.53"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"4"	"5p5.(2P*<3/2>).9p"	"2[5/2]"	"3"		""	"L4739"	
"719.242"	"0.020"	"719.26+"	"4"	""		"92221.362"	"106120.8"	"5p5.(2P*<3/2>).8p"	"2[5/2]"	"2"	"5p5.(2P*<1/2>).11s"	"2[1/2]*"	"1"		""	"L4103"	
