obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"555.926"	"555.92828+"	"2"	""		"92307.3786"	"110290.3165"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).8d"	"2[1/2]*"	"1"		""	"L4004"	
"556.222534"	"556.22253+"	"500"	"1.10e+05"	B	"79971.7417"	"97945.1664"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<1/2>).5p"	"2[3/2]"	"2"		"T7199"	"L11281"	
"557.028944"	"557.02893+"	"2000"	"9.80e+05"	B+	"79971.7417"	"97919.1468"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<1/2>).5p"	"2[1/2]"	"1"		"T7199"	"L11281"	
"557.313"	"557.31162+"	"2"	""		"80916.7680"	"98855.0698"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<1/2>).5p"	"2[1/2]"	"0"		""	"L7408"	
"557.56"	"557.5683+"	"10"	""		"92307.3786"	"110237.421"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<1/2>).5d"	"2[5/2]*"	"3"		""	"L7408"	
"557.764"	"557.765+"	"3h"	""		"93123.3409"	"111047.07"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).9d"	"2[3/2]*"	"2"		""	"L7408"	
"558.038729"	"558.03872+"	"80"	"6.0e+05"	C	"85846.7046"	"103761.6336"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).6p"	"2[1/2]"	"0"		"T3952n,T3408,T7199"	"L11281"	
"559.141"	"559.1400+"	"2"	""		"93123.3409"	"111002.984"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).9d"	"2[1/2]*"	"1"		""	"L7408"	
"560.772"	"560.77248+"	"1"	""		"92294.4012"	"110121.9961"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	"4s2.4p5.(2P*<1/2>).5d"	"2[5/2]*"	"2"		""	"L7408"	
"560.837"	"560.8370+"	"3"	""		"79971.7417"	"97797.287"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<3/2>).4d"	"2[7/2]*"	"4"	E2	""	"L7408"	
"561.18099"	"561.18099+"	"4"	""		"92307.3786"	"110121.9961"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<1/2>).5d"	"2[5/2]*"	"2"		""	"L11281"	
"564.304"	"564.3037+"	"1"	""		"79971.7417"	"97687.779"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<3/2>).4d"	"2[3/2]*"	"2"	E2	""	"L7408"	
