obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"480.329"	"480.3287"	"450"	"3.17e+07"	B	"166678.64"	"187491.90"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.3d"	"3D*"	"3"		"T7333"	"L3513"	
""	"481.0299"	""	"4.75e+06"	B	"166678.64"	"187461.56"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.3d"	"3D*"	"2"		"T7333"	""	
""	"481.2082"	""	"1.16e+05"	C	"223643.30"	"244418.52"	"2s.2p2.(4P).3p"	"5D*"	"0"	"2s.2p2.(4P).3d"	"5P"	"1"		"T5520LS"	""	
""	"481.5617"	""	"2.61e+05"	C+	"223658.55"	"244418.52"	"2s.2p2.(4P).3p"	"5D*"	"1"	"2s.2p2.(4P).3d"	"5P"	"1"		"T5520LS"	""	
""	"482.1804"	""	"5.20e+04"	C	"223658.55"	"244391.88"	"2s.2p2.(4P).3p"	"5D*"	"1"	"2s.2p2.(4P).3d"	"5P"	"2"		"T5520LS"	""	
""	"482.2563"	""	"2.02e+05"	C+	"223688.45"	"244418.52"	"2s.2p2.(4P).3p"	"5D*"	"2"	"2s.2p2.(4P).3d"	"5P"	"1"		"T5520LS"	""	
""	"482.8768"	""	"2.01e+05"	C+	"223688.45"	"244391.88"	"2s.2p2.(4P).3p"	"5D*"	"2"	"2s.2p2.(4P).3d"	"5P"	"2"		"T5520LS"	""	
""	"483.7781"	""	"1.63e+04"	C	"223688.45"	"244353.31"	"2s.2p2.(4P).3p"	"5D*"	"2"	"2s.2p2.(4P).3d"	"5P"	"3"		"T5520LS"	""	
""	"483.8851"	""	"3.20e+05"	C+	"223731.59"	"244391.88"	"2s.2p2.(4P).3p"	"5D*"	"3"	"2s.2p2.(4P).3d"	"5P"	"2"		"T5520LS"	""	
""	"484.7902"	""	"1.14e+05"	C+	"223731.59"	"244353.31"	"2s.2p2.(4P).3p"	"5D*"	"3"	"2s.2p2.(4P).3d"	"5P"	"3"		"T5520LS"	""	
""	"486.0167"	""	"1.87e+06"	B+	"166521.69"	"187091.37"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.3d"	"1D*"	"2"		"T7333"	""	
""	"486.0611"	""	"4.35e+05"	C+	"223785.51"	"244353.31"	"2s.2p2.(4P).3p"	"5D*"	"4"	"2s.2p2.(4P).3d"	"5P"	"3"		"T5520LS"	""	
""	"487.457"	""	"2.17e+03"	B+	"166582.45"	"187091.37"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.3d"	"1D*"	"2"		"T7333"	""	
"489.511"	"489.5117"	"285"	"3.04e+06"	D	"144187.94"	"164610.76"	"2s.2p3"	"1D*"	"2"	"2s2.2p.3p"	"1P"	"1"		"T7333"	"L3513"	
""	"489.754"	""	"5.61e+02"	D	"166678.64"	"187091.37"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.3d"	"1D*"	"2"		"T7333"	""	
"498.737"	"498.7376"	"285"	"6.98e+07"	B+	"168892.21"	"188937.24"	"2s2.2p.3p"	"3S"	"1"	"2s2.2p.3d"	"3P*"	"0"		"T7333"	"L3513"	
""	"499.1243"	""	"3.54e+07"	C+	"205597.97"	"225627.47"	"2s.2p2.(4P).3s"	"5P"	"1"	"2s.2p2.(4P).3p"	"5P*"	"2"		"T5520LS"	""	
"499.436"	"499.4360"	"450"	"2.62e+07"	C+	"205654.22"	"225671.22"	"2s.2p2.(4P).3s"	"5P"	"2"	"2s.2p2.(4P).3p"	"5P*"	"3"		"T5520LS"	"L3513"	
""	"499.4370"	""	"7.11e+07"	B+	"168892.21"	"188909.17"	"2s2.2p.3p"	"3S"	"1"	"2s2.2p.3d"	"3P*"	"1"		"T7333"	""	
""	"499.7224"	""	"1.96e+07"	C+	"205597.97"	"225603.50"	"2s.2p2.(4P).3s"	"5P"	"1"	"2s.2p2.(4P).3p"	"5P*"	"1"		"T5520LS"	""	
""	"500.1134"	""	"9.65e+07"	A	"166521.69"	"186511.58"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.3d"	"3F*"	"2"		"T7333"	""	
"500.148"	"500.1474"	"650"	"1.04e+08"	A	"166582.45"	"186570.98"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.3d"	"3F*"	"3"		"T7333"	"L3513"	
"500.270"	"500.2703"	"360"	"8.33e+06"	B	"148908.59"	"168892.21"	"2s2.2p.3s"	"3P*"	"0"	"2s2.2p.3p"	"3S"	"1"		"T7333"	"L3513"	
"500.515"	"500.5150"	"870"	"1.14e+08"	A	"166678.64"	"186652.49"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.3d"	"3F*"	"4"		"T7333"	"L3513"	
