obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"627.30141"	"0.00040"	"627.30149"	"0.00006"	"700"	"9.94e+05"	C+	"151038.4524"	"166975.3424"	"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).4d"	"2[1/2]*"	"1"		"T6976"	"L4498"	
"627.60327"	"0.00040"	"627.60343"	"0.00006"	"500"	"1.25e+06"	C+	"151038.4524"	"166967.6752"	"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).4d"	"2[1/2]*"	"0"		"T6976"	"L4498"	
"629.37447"	"0.00004"	"629.37444"	"0.00006"	"1000"	"6.39e+05"	B+	"150772.1118"	"166656.5114"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"		"T2318"	"L3451"	
"630.47893"	"0.00005"	"630.47889"	"0.00010"	"1000"	"4.16e+06"	B+	"134459.2871"	"150315.8612"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"2"		"T2733"	"L7292"	
"631.36855"	"0.00040"	"631.36878"	"0.00006"	"1500"	"3.40e+06"	B+	"150772.1118"	"166606.3370"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"		"T2734"	"L4498"	
"632.81646"	"0.00004"	"632.81639"	"0.00006"	"3000"	"3.39e+06"	B+	"150858.5079"	"166656.5114"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"		"T2318"	"L3451"	
"633.08894"	"0.00040"	"633.08928"	"0.00006"	"1500"	"1.46e+06"	B+	"150121.5922"	"165912.7861"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"		"T2734"	"L4498"	
"633.44276"	"0.00005"	"633.44278"	"0.00010"	"10000"	"1.61e+07"	B+	"134041.8400"	"149824.2215"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"		"T2733"	"L7292"	
"635.18532"	"0.00040"	"635.18550"	"0.00006"	"1000"	"3.45e+05"	B+	"150917.4307"	"166656.5114"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"0"	"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"		"T2318"	"L4498"	
"636.49963"	"0.00040"	"636.49969"	"0.00006"	"1000"	"1.60e+05"	B+	"150121.5922"	"165828.1766"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"		"T2734"	"L4498"	
"638.29914"	"0.00005"	"638.29917"	"0.00010"	"10000"	"3.21e+07"	B+	"134459.2871"	"150121.5922"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"		"T2733"	"L7292"	
"640.1076"	"0.0020"	"640.10749"	"0.00006"	"1000"	"1.39e+06"	B+	"151038.4524"	"166656.5114"	"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"		"T2318"	"L3469"	
