obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"621.441"	""	"2.78e+05"	D+	"96750.840"	"112838.02"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).5d"	"4P"	"3/2"		"T5723LS"	""	
""	"621.6505"	""	"1.25e+05"	C	"96864.050"	"112945.809"	"2s2.2p2.(3P).3p"	"2D*"	"5/2"	"2s2.2p2.(3P).5d"	"2D"	"5/2"		"u18,LS"	""	
""	"621.9654"	""	"2.77e+05"	D+	"96750.840"	"112824.459"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).5d"	"4P"	"5/2"		"T5723LS"	""	
""	"622.3763"	""	"1.33e+04"	D+	"96864.050"	"112927.055"	"2s2.2p2.(3P).3p"	"2D*"	"5/2"	"2s2.2p2.(3P).5d"	"2D"	"3/2"		"u18,LS"	""	
""	"623.7672"	""	"2.81e+05"	C	"96864.050"	"112891.238"	"2s2.2p2.(3P).3p"	"2D*"	"5/2"	"2s2.2p2.(3P).5d"	"2F"	"7/2"		"u18,LS"	""	
""	"623.8587"	""	"2.62e+05"	C	"96787.680"	"112812.518"	"2s2.2p2.(3P).3p"	"2D*"	"3/2"	"2s2.2p2.(3P).5d"	"2F"	"5/2"		"u18,LS"	""	
""	"626.8461"	""	"1.85e+04"	C	"96864.050"	"112812.518"	"2s2.2p2.(3P).3p"	"2D*"	"5/2"	"2s2.2p2.(3P).5d"	"2F"	"5/2"		"u18,LS"	""	
""	"627.5512"	""	"3.75e+05"	D+	"96750.840"	"112681.389"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).6s"	"4P"	"5/2"		"T5723LS"	""	
""	"630.3915"	""	"3.70e+05"	D+	"96750.840"	"112609.612"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).6s"	"4P"	"3/2"		"T5723LS"	""	
""	"632.1511"	""	"3.67e+05"	D+	"96750.840"	"112565.470"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).6s"	"4P"	"1/2"		"T5723LS"	""	
""	"639.8402"	""	"3.95e+05"	C	"94770.880"	"110395.463"	"2s2.2p2.(3P).3p"	"4D*"	"1/2"	"2s2.2p2.(3P).4d"	"4D"	"3/2"		"u18,LS"	""	
""	"640.2364"	""	"7.89e+05"	C	"94770.880"	"110385.795"	"2s2.2p2.(3P).3p"	"4D*"	"1/2"	"2s2.2p2.(3P).4d"	"4D"	"1/2"		"u18,LS"	""	
""	"640.5255"	""	"3.68e+05"	C	"94793.490"	"110401.356"	"2s2.2p2.(3P).3p"	"4D*"	"3/2"	"2s2.2p2.(3P).4d"	"4D"	"5/2"		"u18,LS"	""	
""	"640.7675"	""	"6.30e+05"	C	"94793.490"	"110395.463"	"2s2.2p2.(3P).3p"	"4D*"	"3/2"	"2s2.2p2.(3P).4d"	"4D"	"3/2"		"u18,LS"	""	
"641.165"	"641.1648"	"185"	"7.86e+05"	C	"94793.490"	"110385.795"	"2s2.2p2.(3P).3p"	"4D*"	"3/2"	"2s2.2p2.(3P).4d"	"4D"	"1/2"		"u18,LS"	"L3513"	
""	"641.9872"	""	"2.23e+05"	C	"94830.890"	"110403.220"	"2s2.2p2.(3P).3p"	"4D*"	"5/2"	"2s2.2p2.(3P).4d"	"4D"	"7/2"		"u18,LS"	""	
"642.064"	"642.0641"	"210"	"8.97e+05"	C	"94830.890"	"110401.356"	"2s2.2p2.(3P).3p"	"4D*"	"5/2"	"2s2.2p2.(3P).4d"	"4D"	"5/2"		"u18,LS"	"L3513"	
"642.302"	"642.3072"	"210"	"5.47e+05"	C	"94830.890"	"110395.463"	"2s2.2p2.(3P).3p"	"4D*"	"5/2"	"2s2.2p2.(3P).4d"	"4D"	"3/2"		"u18,LS"	"L3513"	
"642.832"	""	"210"	""		""	""	""	""	""	""	""	""		""	"L3513"	
"643.768"	""	"185"	""		""	""	""	""	""	""	""	""		""	"L3513"	
"644.094"	"644.0938"	"235"	"1.33e+06"	C	"94881.820"	"110403.220"	"2s2.2p2.(3P).3p"	"4D*"	"7/2"	"2s2.2p2.(3P).4d"	"4D"	"7/2"		"u18,LS"	"L3513"	
""	"644.1711"	""	"2.94e+05"	C	"94881.820"	"110401.356"	"2s2.2p2.(3P).3p"	"4D*"	"7/2"	"2s2.2p2.(3P).4d"	"4D"	"5/2"		"u18,LS"	""	
"645.790"	""	"185"	""		""	""	""	""	""	""	""	""		""	"L3513"	
"646.844"	""	"300"	""		""	""	""	""	""	""	""	""		""	"L3513"	
"648.171"	"648.1706"	"265"	"3.43e+06"	C	"94770.880"	"110194.654"	"2s2.2p2.(3P).3p"	"4D*"	"1/2"	"2s2.2p2.(3P).4d"	"4F"	"3/2"		"u18,LS"	"L3513"	
