obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"570.2906"	"0.0003"	"570.29071"	"0.00005"	"8"	""		"39625.804"	"57155.857"	"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"4"	"3d6.4s.(6D).5d"	"7G"	"4"		""	"L11631"	
"570.47333"	"0.00010"	"570.47327"	"0.00010"	"34"	""		"40594.432"	"58118.875"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"4"	"3d6.4s.(4D).4d"	"5F"	"4"		""	"L11631"	
"570.54642"	"0.00010"	"570.54640"	"0.00005"	"182"	"3.01e+06"	B	"34692.148"	"52214.345"	"3d7.(4F).4p"	"y 5F*"	"1"	"3d6.(5D).4s (4D).5s"	"g 5D"	"1"		"T6110"	"L11631"	
"570.59918"	"0.00010"	"570.59918"	"0.00005"	"780"	"6.1e+06"	D	"37162.746"	"54683.322"	"3d7.(4F).4p"	"y 3F*"	"3"	"3d7.(4F).4d"	"f 3F"	"4"		"T2578n"	"L11631"	
"570.60957"	"0.00010"	"570.60954"	"0.00005"	"81"	""		"34547.211"	"52067.469"	"3d7.(4F).4p"	"y 5F*"	"2"	"3d6.(5D).4s (6D).4d"	"e 5P"	"2"		""	"L11631"	
"570.70491"	"0.00010"	"570.70492"	"0.00005"	"87"	"1.0e+05"	E	"29371.812"	"46889.142"	"3d6.4s2"	"b 3D"	"3"	"3d6.(3F2).4s.4p.(3P*)"	"x 3F*"	"4"		"T2578n"	"L11631"	
"570.7248"	"0.0003"	"570.72528"	"0.00005"	"13"	""		"29371.812"	"46888.517"	"3d6.4s2"	"b 3D"	"3"	"3d7.(4P).4p"	"u 5D*"	"2"		""	"L11631"	
"570.7704"	"0.0003"	"570.77041"	"0.00005"	"3"	""		"33095.941"	"50611.261"	"3d7.(4F).4p"	"y 5D*"	"4"	"3d6.(5D).4s (6D).4d"	"e 7P"	"3"		""	"L11631"	
"570.80942"	"0.00010"	"570.80936"	"0.00005"	"151"	"5.3e+05"	E	"35767.564"	"53281.689"	"3d7.(4F).4p"	"z 3G*"	"4"	"3d7.(4F).4d"	"f 5G"	"5"		"T2578n"	"L11631"	
"570.93779"	"0.00010"	"570.93776"	"0.00005"	"3160"	"2.13e+06"	B	"27166.820"	"44677.006"	"3d6.(5D).4s.4p.(3P*)"	"z 5F*"	"4"	"3d6.(5D).4s (6D).5s"	"e 5D"	"4"		"T5783"	"L11631"	
"570.99319"	"0.00010"	"570.99320"	"0.00005"	"24"	""		"34328.752"	"51837.238"	"3d7.(4F).4p"	"y 5F*"	"3"	"3d6.(5D).4s (6D).4d"	"e 5P"	"3"		""	"L11631"	
"571.18483"	"0.00010"	"571.18483"	"0.00005"	"219"	"1.5e+06"	E	"34547.211"	"52049.823"	"3d7.(4F).4p"	"y 5F*"	"2"	"3d6.(5D).4s (4D).5s"	"g 5D"	"2"		"T2578n"	"L11631"	
"571.21312"	"0.00010"	"571.21309"	"0.00005"	"302"	"2.99e+05"	B	"27559.583"	"45061.329"	"3d6.(5D).4s.4p.(3P*)"	"z 5F*"	"2"	"3d6.(5D).4s (6D).5s"	"e 5D"	"3"		"T5783"	"L11631"	
"571.2888"	"0.0005"	"571.28817"	"0.00007"	"2"	""		"39625.804"	"57125.250"	"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"4"	"3d6.4s.(6D).5d"	"5F"	"4"		""	"L11631"	
"571.41531"	"0.00004"	""	""	"76"	""		""	""	""	""	""	""	""	""		""	"L11631"	
