obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"360.4085"	"0.0004"	"360.40843"	"45000c"	"1.4e+07"		"108975.732"	"136714.118"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"5/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<3>,1/2]"	"5/2"		"T7226"	"L11760"	
"360.5762"	"0.0002"	"360.57616"	"100000"	"3.0e+07"		"105544.042"	"133269.525"	"5d10.6d"	"2D"	"5/2"	"5d10.6f"	"2F*"	"7/2"		"T7226"	"L11760"	
"360.6885"	"0.0004"	"360.68855"	"8000"	"5.7e+06"		"111971.464"	"139688.308"	"5d10.7p"	"2P*"	"3/2"	"5d10.9d"	"2D"	"5/2"		"T7226"	"L11760"	
"361.4875"	"0.0004"	"361.48760"	"450"	"8.5e+05"		"111971.464"	"139627.043"	"5d10.7p"	"2P*"	"3/2"	"5d10.9d"	"2D"	"3/2"		"T7226"	"L11760"	
"363.2363"	"0.0004"	"363.23594"	"8000"	"3.5e+06"		"109191.648"	"136714.118"	"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"3/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<3>,1/2]"	"5/2"		"T7226"	"L11760"	
"364.3293"	"0.0004"	"364.32960"	"100h"	"1.2e+04"		"106215.059"	"133654.913"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"7/2"	"5d10.5g"	"2G"	"7/2"		"T7226"	"L11760"	
"364.3293"	"0.0004"	"364.33005"	"100h"	"3.4e+05"		"106215.059"	"133654.879"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"7/2"	"5d10.5g"	"2G"	"9/2"		"T7226"	"L11760"	
"375.1759"	"0.0004"	""	"100h"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"377.6141"	"0.0003"	"377.61416"	"6000h"	"2.6e+07"		"106086.013"	"132560.550"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"3/2"	"5d10.9s"	"2S"	"1/2"		"T7226"	"L11760"	
"377.7755"	"0.0003"	"377.7757"	"900"	"2.7e+06"		"111971.464"	"138434.682"	"5d10.7p"	"2P*"	"3/2"	"5d10.10s"	"2S"	"1/2"		"T7226"	"L11760"	
"378.9727"	"0.0004"	"378.9732"	"5"	"7.5e+05"		"121753.739"	"148133.339"	"5d9.6s.6p"	"(2D<3/2>,1P<1>)*"	"1/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<2>,3/2]"	"1/2"		"T7226"	"L11760"	
"379.7326"	"0.0003"	"379.73228"	"6000c"	"7.6e+05"		"108975.732"	"135302.600"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"5/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<3>,1/2]"	"7/2"		"T7226"	"L11760"	
"380.6312"	"0.0003"	"380.63154"	"50000"	"3.2e+07"		"108298.183"	"134562.854"	"5d10.7p"	"2P*"	"1/2"	"5d10.8d"	"2D"	"3/2"		"T7226"	"L11760"	
"382.8909"	"0.0004"	"382.89121"	"1000"	"1.5e+06"		"110604.447"	"136714.118"	"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"7/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<3>,1/2]"	"5/2"		"T7226"	"L11760"	
"383.9259"	"0.0004"	"383.9255"	"10000"	"4.7e+06"		"95714.406"	"121753.739"	"5d10.7s"	"2S"	"1/2"	"5d9.6s.6p"	"(2D<3/2>,1P<1>)*"	"1/2"		"T7226"	"L11760"	
"388.3183"	"0.0004"	""	"200"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"390.9320"	"0.0004"	""	"400"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"391.3367"	"0.0004"	""	"75"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"391.4313"	"0.0004"	"391.43142"	"5000"	"3.7e+06"		"111174.092"	"136714.118"	"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"5/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<3>,1/2]"	"5/2"		"T7226"	"L11760"	
"391.9264"	"0.0004"	"391.9257"	"500D"	"1.1e+07"		"109191.648"	"134699.466"	"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"3/2"	"5d10.8d"	"2D"	"5/2"		"T7226"	"L11760"	
"394.0369"	"0.0016"	"394.0361"	"15G"	"1.9e+06"		"109191.648"	"134562.854"	"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"3/2"	"5d10.8d"	"2D"	"3/2"		"T7226"	"L11760"	
"394.5673"	"0.0004"	""	"30"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"394.6281"	"0.0004"	""	"75"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"395.6319"	"0.0004"	""	"60"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"397.4402"	"0.0004"	""	"500"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"398.39312"	"0.00003"	"398.39312"	"10000000c"	"3.2e+06"		"35514.624"	"60608.362"	"5d9.6s2"	"2D"	"5/2"	"5d10.6p"	"2P*"	"3/2"		"T7226"	"L11760"	
"402.6201"	"0.0016"	""	"15G"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"404.0457"	"0.0010"	"404.04621"	"4000c"	"9.0e+06"		"111971.464"	"136714.118"	"5d10.7p"	"2P*"	"3/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<3>,1/2]"	"5/2"		"T7226"	"L11760"	
"404.0576"	"0.0003"	""	"500"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"404.7740"	"0.0004"	"404.7742"	"50"	"3.0e+05"		"110604.447"	"135302.600"	"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"7/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<3>,1/2]"	"7/2"		"T7226"	"L11760"	
"412.0440"	"0.0004"	"412.04469"	"4000"	"1.2e+07"		"108298.183"	"132560.550"	"5d10.7p"	"2P*"	"1/2"	"5d10.9s"	"2S"	"1/2"		"T7226"	"L11760"	
"427.6224"	"0.0003"	""	"100"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"427.7995"	"0.0003"	"427.7987"	"100w"	"8.0e+06"		"109191.648"	"132560.550"	"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"3/2"	"5d10.9s"	"2S"	"1/2"		"T7226"	"L11760"	
"433.7097"	"0.0004"	"433.70877"	"100c"	"4.0e+04"		"110604.447"	"133654.913"	"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"7/2"	"5d10.5g"	"2G"	"7/2"		"T7226"	"L11760"	
"433.7097"	"0.0004"	"433.70941"	"100c"	"1.1e+06"		"110604.447"	"133654.879"	"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"7/2"	"5d10.5g"	"2G"	"9/2"		"T7226"	"L11760"	
"438.2549"	"0.0004"	"438.25526"	"300u"	"8.5e+04"		"104984.138"	"127795.481"	"5d10.6d"	"2D"	"3/2"	"5d10.8p"	"2P*"	"3/2"		"T7226"	"L11760"	
"439.8617"	"0.0003"	"439.8623"	"40000"	"9.0e+06"		"111971.464"	"134699.466"	"5d10.7p"	"2P*"	"3/2"	"5d10.8d"	"2D"	"5/2"		"T7226"	"L11760"	
"440.4854"	"0.0006"	"440.4854"	"2h"	"4.5e+06"		"123153.775"	"145849.628"	"5d10.5f"	"2F*"	"7/2"	"5d10.9g"	"2G"	"9/2"		"T7226"	"L11760"	
"442.5220"	"0.0004"	"442.52225"	"3300h"	"1.3e+06"		"111971.464"	"134562.854"	"5d10.7p"	"2P*"	"3/2"	"5d10.8d"	"2D"	"3/2"		"T7226"	"L11760"	
"445.4395"	"0.0003"	"445.4390"	"200h"	"6.5e+06"		"121960.399"	"144403.864"	"5d9.6s.6p"	"(2D<3/2>,1P<1>)*"	"5/2"	"5d10.8g"	"2G"	"7/2"		"T7226"	"L11760"	
"445.5486"	"0.0003"	"445.5486"	"70h"	"2.1e+06"		"123411.351"	"145849.294"	"5d10.5f"	"2F*"	"5/2"	"5d10.9g"	"2G"	"7/2"		"T7226"	"L11760"	
"445.9053"	"0.0003"	""	"150h"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"446.3878"	"0.0004"	"446.3878"	"700c"	"8.0e+04"		"103183.874"	"125579.636"	"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"3/2"	"5d10.7d"	"2D"	"5/2"		"T7226"	"L11760"	
"449.1552"	"0.0003"	""	"2000"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"449.2831"	"0.0003"	"449.28309"	"2800"	"7.5e+05"		"105544.042"	"127795.481"	"5d10.6d"	"2D"	"5/2"	"5d10.8p"	"2P*"	"3/2"		"T7226"	"L11760"	
"465.7320"	"0.0003"	"465.73159"	"60h"	""		"123153.775"	"144619.360"	"5d10.5f"	"2F*"	"7/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,3/2]"	"9/2"		""	"L11760"	
"466.0219"	"0.0004"	"466.02156"	"30000"	"1.0e+07"		"103873.302"	"125325.531"	"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"1/2"	"5d10.7d"	"2D"	"3/2"		"T7226"	"L11760"	
"468.6563"	"0.0003"	"468.6561"	"60s"	"7.7e+03"		"84212.404"	"105544.042"	"5d9.6s.6p"	"(2D<5/2>,3P<1>)*"	"7/2"	"5d10.6d"	"2D"	"5/2"		"T7226"	"L11760"	
